rank,name,confed,off,def,spi
130,Rwanda,CAF,0.7,1.19,32.1
131,Azerbaijan,UEFA,0.87,1.43,31.97
132,Lithuania,UEFA,1.02,1.65,31.53
133,Sierra Leone,CAF,1.07,1.72,31.44
134,Palestine,AFC,0.81,1.43,30.38
135,Lebanon,AFC,0.5,1.0,30.01
136,Niger,CAF,0.92,1.63,29.58
137,Nicaragua,CONCACAF,0.95,1.7,29.2
138,Latvia,UEFA,0.84,1.54,29.19
139,Central African Republic,CAF,1.11,1.92,29.16
140,Comoros,CAF,1.01,1.78,29.13
141,Thailand,AFC,1.0,1.78,28.91
142,Antigua and Barbuda,CONCACAF,1.08,2.04,26.63
143,Turkmenistan,AFC,0.79,1.62,26.51
144,Kyrgyzstan,AFC,0.63,1.4,26.32
145,Vietnam,AFC,0.74,1.59,26.03
146,Belize,CONCACAF,0.84,1.75,25.72
147,Lesotho,CAF,0.59,1.38,25.56
148,New Caledonia,OFC,0.72,1.65,24.5
149,Fiji,OFC,0.65,1.57,23.98
150,Puerto Rico,CONCACAF,0.81,1.86,23.42
151,Swaziland,CAF,0.52,1.42,23.05
152,Guyana,CONCACAF,1.07,2.31,22.72
153,Suriname,CONCACAF,0.73,1.79,22.69
154,Martinique,CONCACAF,0.84,1.97,22.63
155,Faroe Islands,UEFA,0.72,1.79,22.28
156,Solomon Islands,OFC,0.65,1.76,21.2
157,St. Lucia,CONCACAF,0.66,1.8,20.87
158,Barbados,CONCACAF,0.54,1.61,20.54
159,Vanuatu,OFC,0.69,1.88,20.38
160,Tahiti,OFC,0.81,2.15,19.56
161,Philippines,AFC,0.73,2.02,19.54
162,India,AFC,0.6,1.8,19.41
163,Hong Kong,AFC,0.44,1.52,19.38
164,Tajikistan,AFC,0.69,2.0,18.76
165,Mauritius,CAF,0.78,2.18,18.53
166,South Sudan,CAF,0.8,2.27,17.99
167,Malta,UEFA,0.65,2.05,17.52
168,Sao Tome and Principe,CAF,0.82,2.36,17.22
169,Dominica,CONCACAF,0.41,1.71,16.32
170,Liechtenstein,UEFA,0.64,2.15,16.16
171,Indonesia,AFC,0.58,2.09,15.55
172,St. Vincent and the Grenadines,CONCACAF,0.71,2.37,15.18
173,Singapore,AFC,0.44,1.86,15.13
174,Yemen,AFC,0.35,1.69,15.0
175,Gibraltar,UEFA,0.56,2.15,14.59
176,Malaysia,AFC,0.5,2.09,13.98
177,Grenada,CONCACAF,0.69,2.51,13.4
178,Afghanistan,AFC,0.61,2.44,12.73
179,Seychelles,CAF,0.43,2.21,11.56
180,Andorra,UEFA,0.26,1.87,11.02
181,Aruba,CONCACAF,0.6,2.65,10.77
182,Cayman Islands,CONCACAF,0.42,2.37,10.05
183,Myanmar,AFC,0.45,2.5,9.53
184,Papua New Guinea,OFC,0.6,2.88,9.16
185,Montserrat,CONCACAF,0.79,3.31,8.96
186,Bahamas,CONCACAF,0.73,3.26,8.54
187,Nepal,AFC,0.2,2.11,8.01
188,Chinese Taipei,AFC,0.47,2.8,7.97
189,Maldives,AFC,0.41,2.87,6.75
190,French Guiana,CONCACAF,0.47,3.17,6.02
191,Somalia,CAF,0.4,3.14,5.39
192,Djibouti,CAF,0.44,3.33,5.03
193,Mongolia,AFC,0.32,3.05,4.84
194,Bangladesh,AFC,0.2,2.76,4.64
195,British Virgin Islands,CONCACAF,0.46,3.53,4.43
196,San Marino,UEFA,0.27,3.06,4.32
197,Cambodia,AFC,0.3,3.51,3.22
198,Anguilla,CONCACAF,0.4,3.86,3.04
199,Turks and Caicos Islands,CONCACAF,0.7,4.69,2.96
200,Bonaire,CONCACAF,0.33,3.72,2.92
201,Guadeloupe,CONCACAF,0.21,3.58,2.36
202,Pakistan,AFC,0.23,3.74,2.18
203,Brunei,AFC,0.25,3.86,2.05
204,Bhutan,AFC,0.27,4.03,1.94
205,Sri Lanka,AFC,0.22,4.1,1.53
206,US Virgin Islands,CONCACAF,0.35,4.61,1.47
207,Laos,AFC,0.26,4.38,1.39
208,Timor-Leste,AFC,0.3,4.85,1.05
209,St. Martin,CONCACAF,0.2,4.59,0.95
210,Guam,AFC,0.29,5.04,0.88
211,Sint Maarten,CONCACAF,0.2,4.73,0.84
212,Tuvalu,OFC,0.38,5.62,0.7
213,Macau,AFC,0.2,5.75,0.34
214,Samoa,OFC,0.2,5.78,0.34
215,Tonga,OFC,0.2,6.08,0.26
